Year,Material,Tons
1/1/2009,Chromium,-115.503827
1/1/2009,Cobalt,10.690775
1/1/2009,Copper,297.778412
1/1/2009,Dysprosium (REE),0.003254
1/1/2009,Erbium (REE),-0.000000
1/1/2009,Europium (REE),-0.000000
1/1/2009,Fluorspar,-0.000000
1/1/2009,Gadolinium (REE),-0.000000
1/1/2009,Gallium,0.000047
1/1/2009,Germanium,-0.000000
1/1/2009,Gold,-0.000000
1/1/2009,Graphite,-0.000000
1/1/2009,Hafnium,-0.006769
1/1/2009,Helium,-0.000000
1/1/2009,Holmium (REE),-0.000000
1/1/2009,Indium,-0.013462
1/1/2009,Iridium,-0.000000
1/1/2009,Iron,761.128044
1/1/2009,Lanthanum (REE),-0.000000
1/1/2009,Lead,-0.140291
1/1/2009,Lithium,0.078939
1/1/2009,Lutetium (REE),-0.000000
1/1/2009,Magnesium,0.188859
1/1/2009,Manganese,27.847752
1/1/2009,Molybdenum,3.545549
1/1/2009,Neodymium (REE),0.011302
1/1/2009,Nickel,-29.150580
1/1/2009,Niobium,2.847816
1/1/2009,Palladium,-0.000000
1/1/2009,Phosphate rock,-0.000000
1/1/2009,Phosphorus,-0.000000
1/1/2009,Platinum,-0.000000
1/1/2009,Praseodymium (REE),0.005325
1/1/2009,Rhenium,-0.000000
1/1/2009,Rhodium,-0.000000
1/1/2009,Ruthenium,-0.000000
1/1/2009,Samarium (REE),-0.000000
1/1/2009,Scandium (REE),-0.000000
1/1/2009,Selenium,0.000748
1/1/2009,Silicon,31.469759
1/1/2009,Silver,-2.621138
1/1/2009,Steel,-214144.714691
1/1/2009,Tantalum,-0.000015
1/1/2009,Tellurium,0.000257
1/1/2009,Terbium (REE),0.001771
1/1/2009,Thulium,-0.000000
1/1/2009,Tin,10.981126
1/1/2009,Titanium,-0.000000
1/1/2009,Tungsten,-0.592273
1/1/2009,Vanadium,0.152752
1/1/2009,Yetterbium (REE),-0.000000
1/1/2009,Yttrium (REE),-0.000000
1/1/2009,Zinc,439.782953
1/1/2009,Zirconium,-0.209834
1/1/2010,Aluminum,817.065822
1/1/2010,Antimony,-0.000000
1/1/2010,Arsenic,-0.000000
1/1/2010,Baryte,-0.000000
1/1/2010,Beryllium,-0.000000
1/1/2010,Bismuth,-0.000000
1/1/2010,Borate,-0.000000
1/1/2010,Boron,0.002742
1/1/2010,Cadmium,0.007982
1/1/2010,Cerium (REE),-0.000000
1/1/2010,Chromium,239.332883
1/1/2010,Cobalt,17.396497
1/1/2010,Copper,496.810821
1/1/2010,Dysprosium (REE),0.005296
1/1/2010,Erbium (REE),-0.000000
1/1/2010,Europium (REE),-0.000000
1/1/2010,Fluorspar,-0.000000
1/1/2010,Gadolinium (REE),-0.000000
1/1/2010,Gallium,0.000083
1/1/2010,Germanium,-0.000000
1/1/2010,Gold,-0.000000
1/1/2010,Graphite,-0.000000
1/1/2010,Hafnium,0.000104
1/1/2010,Helium,-0.000000
1/1/2010,Holmium (REE),-0.000000
1/1/2010,Indium,0.000344
1/1/2010,Iridium,-0.000000
1/1/2010,Iron,1238.641271
1/1/2010,Lanthanum (REE),-0.000000
1/1/2010,Lead,2.840193
1/1/2010,Lithium,0.128464
1/1/2010,Lutetium (REE),-0.000000
1/1/2010,Magnesium,0.297033
1/1/2010,Manganese,45.126749
1/1/2010,Molybdenum,28.276396
1/1/2010,Neodymium (REE),0.018393
1/1/2010,Nickel,128.658410
1/1/2010,Niobium,5.539076
1/1/2010,Palladium,-0.000000
1/1/2010,Phosphate rock,-0.000000
1/1/2010,Phosphorus,-0.000000
1/1/2010,Platinum,-0.000000
1/1/2010,Praseodymium (REE),0.008246
1/1/2010,Rhenium,-0.000000
1/1/2010,Rhodium,-0.000000
1/1/2010,Ruthenium,-0.000000
1/1/2010,Samarium (REE),-0.000000
1/1/2010,Scandium (REE),-0.000000
1/1/2010,Selenium,0.001334
1/1/2010,Silicon,54.674670
1/1/2010,Silver,0.191696
1/1/2010,Steel,70356.172950
1/1/2010,Tantalum,0.000048
1/1/2010,Tellurium,0.000453
1/1/2010,Terbium (REE),0.002742
1/1/2010,Thulium,-0.000000
1/1/2010,Tin,21.272646
1/1/2010,Titanium,-0.000000
1/1/2010,Tungsten,0.009099
1/1/2010,Vanadium,0.247130
1/1/2010,Yetterbium (REE),-0.000000
1/1/2010,Yttrium (REE),-0.000000
1/1/2010,Zinc,681.730878
1/1/2010,Zirconium,0.003224
1/1/2011,Aluminum,1263.174094
1/1/2011,Antimony,-0.000000
1/1/2011,Arsenic,-0.000000
1/1/2011,Baryte,-0.000000
1/1/2011,Beryllium,-0.000000
1/1/2011,Bismuth,-0.000000
1/1/2011,Borate,-0.000000
1/1/2011,Boron,0.004104
1/1/2011,Cadmium,-0.960870
1/1/2011,Cerium (REE),-0.000000
1/1/2011,Chromium,-6302.960069
1/1/2011,Cobalt,27.116338
1/1/2011,Copper,482.754956
1/1/2011,Dysprosium (REE),0.008255
1/1/2011,Erbium (REE),-0.000000
1/1/2011,Europium (REE),-0.000000
1/1/2011,Fluorspar,-0.000000
1/1/2011,Gadolinium (REE),-0.000000
1/1/2011,Gallium,0.000146
1/1/2011,Germanium,-0.000000
1/1/2011,Gold,-0.000000
1/1/2011,Graphite,-0.000000
1/1/2011,Hafnium,-0.064799
1/1/2011,Helium,-0.000000
1/1/2011,Holmium (REE),-0.000000
1/1/2011,Indium,-0.129360
