Year,Technolgy,Energy
1/1/2037,SolarCSP,449.885109
1/1/2037,Ocean,28.585417
1/1/2037,Stationary Li-ion batteries,600.328900
1/1/2037,EV Li-ion batteries,464.512576
1/1/2038,Oil,235.726683
1/1/2038,Coal,553.063278
1/1/2038,CoalCCS,214.846573
1/1/2038,NaturalGas,1842.650794
1/1/2038,NaturalGasCCS,116.433933
1/1/2038,Nuclear,804.870345
1/1/2038,BiomassAndWaste,638.063151
1/1/2038,BiomassCCS,24.146663
1/1/2038,Hydro,1794.102015
1/1/2038,Geothermal,82.448605
1/1/2038,WindOnshore,2285.057589
1/1/2038,WindOffshore,237.761870
1/1/2038,SolarPV,2232.736905
1/1/2038,SolarCSP,488.303979
1/1/2038,Ocean,33.187567
1/1/2038,Stationary Li-ion batteries,672.368400
1/1/2038,EV Li-ion batteries,507.362417
1/1/2039,Oil,224.645692
1/1/2039,Coal,473.194211
1/1/2039,CoalCCS,240.754639
1/1/2039,NaturalGas,1813.823662
1/1/2039,NaturalGasCCS,131.083145
1/1/2039,Nuclear,823.074574
1/1/2039,BiomassAndWaste,672.688092
1/1/2039,BiomassCCS,29.068807
1/1/2039,Hydro,1828.708916
1/1/2039,Geothermal,86.696725
1/1/2039,WindOnshore,2355.721008
1/1/2039,WindOffshore,252.532850
1/1/2039,SolarPV,2386.563792
1/1/2039,SolarCSP,526.722849
1/1/2039,Ocean,37.789717
1/1/2039,Stationary Li-ion batteries,754.699200
1/1/2039,EV Li-ion batteries,552.316757
1/1/2040,Oil,213.564702
1/1/2040,Coal,393.325144
1/1/2040,CoalCCS,266.662704
1/1/2040,NaturalGas,1784.996531
1/1/2040,NaturalGasCCS,145.732357
1/1/2040,Nuclear,841.278804
1/1/2040,BiomassAndWaste,707.313034
1/1/2040,BiomassCCS,33.990952
1/1/2040,Hydro,1863.315818
1/1/2040,Geothermal,90.944846
1/1/2040,WindOnshore,2426.384428
1/1/2040,WindOffshore,267.303829
1/1/2040,SolarPV,2540.390678
1/1/2040,SolarCSP,565.141718
1/1/2040,Ocean,42.391868
1/1/2040,Stationary Li-ion batteries,816.447300
1/1/2040,EV Li-ion batteries,631.587021
1/1/2041,Oil,208.859443
1/1/2041,Coal,341.933498
1/1/2041,CoalCCS,282.529204
1/1/2041,NaturalGas,1791.543403
1/1/2041,NaturalGasCCS,161.512687
1/1/2041,Nuclear,855.448473
1/1/2041,BiomassAndWaste,753.954756
1/1/2041,BiomassCCS,47.127766
1/1/2041,Hydro,1896.839551
1/1/2041,Geothermal,97.016402
1/1/2041,WindOnshore,2478.696083
1/1/2041,WindOffshore,282.242563
1/1/2041,SolarPV,2728.456146
1/1/2041,SolarCSP,601.274519
1/1/2041,Ocean,52.360968
1/1/2041,Stationary Li-ion batteries,888.486700
1/1/2041,EV Li-ion batteries,715.780932
1/1/2042,Oil,204.154184
1/1/2042,Coal,290.541852
1/1/2042,CoalCCS,298.395704
1/1/2042,NaturalGas,1798.090275
