Year,Material,Tons
1/1/2007,Phosphate rock,0.000000
1/1/2007,Phosphorus,0.000000
1/1/2007,Platinum,0.000000
1/1/2007,Praseodymium (REE),55.963700
1/1/2007,Rhenium,0.000000
1/1/2007,Rhodium,0.000000
1/1/2007,Ruthenium,0.000000
1/1/2007,Samarium (REE),0.000000
1/1/2007,Scandium (REE),0.000000
1/1/2007,Selenium,5.420045
1/1/2007,Silicon,14202.532489
1/1/2007,Silver,66.085569
1/1/2007,Steel,15623672.023981
1/1/2007,Tantalum,12.859076
1/1/2007,Tellurium,9.610258
1/1/2007,Terbium (REE),18.642466
1/1/2007,Thulium,0.000000
1/1/2007,Tin,2479.620537
1/1/2007,Titanium,0.000000
1/1/2007,Tungsten,-0.039592
1/1/2007,Vanadium,1682.624230
1/1/2007,Yetterbium (REE),0.000000
1/1/2007,Yttrium (REE),0.000000
1/1/2007,Zinc,115861.443029
1/1/2007,Zirconium,-0.014027
1/1/2008,Aluminum,410645.995964
1/1/2008,Antimony,0.000000
1/1/2008,Arsenic,0.000000
1/1/2008,Baryte,0.000000
1/1/2008,Beryllium,0.000000
1/1/2008,Bismuth,0.000000
1/1/2008,Borate,0.000000
1/1/2008,Boron,24.657379
1/1/2008,Cadmium,22.556698
1/1/2008,Cerium (REE),0.000000
1/1/2008,Chromium,99659.505757
1/1/2008,Cobalt,702.559568
1/1/2008,Copper,143338.538868
1/1/2008,Dysprosium (REE),14.202442
1/1/2008,Erbium (REE),0.000000
1/1/2008,Europium (REE),0.000000
1/1/2008,Fluorspar,0.000000
1/1/2008,Gadolinium (REE),0.000000
1/1/2008,Gallium,4.252103
1/1/2008,Germanium,0.000000
1/1/2008,Gold,0.000000
1/1/2008,Graphite,0.000000
1/1/2008,Hafnium,0.009769
1/1/2008,Helium,0.000000
1/1/2008,Holmium (REE),0.000000
1/1/2008,Indium,6.957180
1/1/2008,Iridium,0.000000
1/1/2008,Iron,46738.058383
1/1/2008,Lanthanum (REE),0.000000
1/1/2008,Lead,8892.174030
1/1/2008,Lithium,344.523759
1/1/2008,Lutetium (REE),0.000000
1/1/2008,Magnesium,2703.551312
1/1/2008,Manganese,9957.426250
1/1/2008,Molybdenum,17275.886156
1/1/2008,Neodymium (REE),49.326762
1/1/2008,Nickel,59572.042686
1/1/2008,Niobium,977.889782
1/1/2008,Palladium,0.000000
1/1/2008,Phosphate rock,0.000000
1/1/2008,Phosphorus,0.000000
1/1/2008,Platinum,0.000000
1/1/2008,Praseodymium (REE),74.008907
1/1/2008,Rhenium,0.000000
1/1/2008,Rhodium,0.000000
1/1/2008,Ruthenium,0.000000
1/1/2008,Samarium (REE),0.000000
1/1/2008,Scandium (REE),0.000000
1/1/2008,Selenium,13.651813
1/1/2008,Silicon,34769.793270
1/1/2008,Silver,162.336347
1/1/2008,Steel,21343201.102076
1/1/2008,Tantalum,19.451654
1/1/2008,Tellurium,23.840045
1/1/2008,Terbium (REE),24.652667
1/1/2008,Thulium,0.000000
1/1/2008,Tin,4182.225311
1/1/2008,Titanium,0.000000
1/1/2008,Tungsten,0.052741
1/1/2008,Vanadium,2230.528516
1/1/2008,Yetterbium (REE),0.000000
1/1/2008,Yttrium (REE),0.009722
1/1/2008,Zinc,154872.079149
1/1/2008,Zirconium,0.302844
1/1/2009,Aluminum,516303.821145
1/1/2009,Antimony,0.000000
1/1/2009,Arsenic,0.000000
1/1/2009,Baryte,0.000000
1/1/2009,Beryllium,0.000000
1/1/2009,Bismuth,0.000000
1/1/2009,Borate,0.000000
1/1/2009,Boron,33.931919
1/1/2009,Cadmium,30.016132
1/1/2009,Cerium (REE),0.000000
1/1/2009,Chromium,129323.034072
1/1/2009,Cobalt,986.383455
1/1/2009,Copper,186084.248285
1/1/2009,Dysprosium (REE),19.913026
1/1/2009,Erbium (REE),0.000000
1/1/2009,Europium (REE),0.000000
1/1/2009,Fluorspar,0.000000
1/1/2009,Gadolinium (REE),0.000000
1/1/2009,Gallium,5.763829
1/1/2009,Germanium,0.000000
1/1/2009,Gold,0.000000
1/1/2009,Graphite,0.000000
1/1/2009,Hafnium,-0.006769
1/1/2009,Helium,0.000000
1/1/2009,Holmium (REE),0.000000
1/1/2009,Indium,9.390605
1/1/2009,Iridium,0.000000
1/1/2009,Iron,65664.128917
1/1/2009,Lanthanum (REE),0.000000
1/1/2009,Lead,9973.836786
1/1/2009,Lithium,483.051463
1/1/2009,Lutetium (REE),0.000000
1/1/2009,Magnesium,2975.182079
1/1/2009,Manganese,12587.647938
1/1/2009,Molybdenum,22433.153472
1/1/2009,Neodymium (REE),69.160294
1/1/2009,Nickel,90323.061963
1/1/2009,Niobium,1355.057982
1/1/2009,Palladium,0.000000
1/1/2009,Phosphate rock,0.000000
1/1/2009,Phosphorus,0.000000
1/1/2009,Platinum,0.000000
1/1/2009,Praseodymium (REE),101.848462
1/1/2009,Rhenium,0.000000
1/1/2009,Rhodium,0.000000
1/1/2009,Ruthenium,0.000000
1/1/2009,Samarium (REE),0.000000
1/1/2009,Scandium (REE),0.000000
1/1/2009,Selenium,18.505524
1/1/2009,Silicon,45855.970395
1/1/2009,Silver,211.245542
1/1/2009,Steel,26165137.043393
1/1/2009,Tantalum,31.550485
1/1/2009,Tellurium,31.844963
1/1/2009,Terbium (REE),33.925696
1/1/2009,Thulium,0.000000
1/1/2009,Tin,5646.558044
1/1/2009,Titanium,0.000000
1/1/2009,Tungsten,-0.592273
1/1/2009,Vanadium,3068.862806
1/1/2009,Yetterbium (REE),0.000000
1/1/2009,Yttrium (REE),0.000000
1/1/2009,Zinc,209714.210886
1/1/2009,Zirconium,-0.209834
1/1/2010,Aluminum,802141.096559
1/1/2010,Antimony,0.000000
1/1/2010,Arsenic,0.000000
1/1/2010,Baryte,0.000000
1/1/2010,Beryllium,0.000000
1/1/2010,Bismuth,0.000000
1/1/2010,Borate,0.000000
1/1/2010,Boron,30.730131
1/1/2010,Cadmium,68.601834
1/1/2010,Cerium (REE),0.000000
1/1/2010,Chromium,144395.699565
1/1/2010,Cobalt,395.845849
1/1/2010,Copper,208799.325257
1/1/2010,Dysprosium (REE),7.577638
1/1/2010,Erbium (REE),0.000000
1/1/2010,Europium (REE),0.000000
1/1/2010,Fluorspar,0.000000
1/1/2010,Gadolinium (REE),0.000000
1/1/2010,Gallium,12.481895
1/1/2010,Germanium,0.000000
1/1/2010,Gold,0.000000
1/1/2010,Graphite,0.000000
1/1/2010,Hafnium,4.296203
1/1/2010,Helium,0.000000
1/1/2010,Holmium (REE),0.000000
1/1/2010,Indium,28.957602
1/1/2010,Iridium,0.000000
1/1/2010,Iron,25923.390477
1/1/2010,Lanthanum (REE),0.000000
1/1/2010,Lead,10040.397204
1/1/2010,Lithium,183.818824
1/1/2010,Lutetium (REE),0.000000
1/1/2010,Magnesium,2918.107235
1/1/2010,Manganese,9644.711837
1/1/2010,Molybdenum,19880.926187
1/1/2010,Neodymium (REE),26.318032
1/1/2010,Nickel,74051.696527
1/1/2010,Niobium,1212.219924
1/1/2010,Palladium,0.000000
1/1/2010,Phosphate rock,0.000000
1/1/2010,Phosphorus,0.000000
1/1/2010,Platinum,0.000000
1/1/2010,Praseodymium (REE),92.178136
1/1/2010,Rhenium,0.000000
1/1/2010,Rhodium,0.000000
1/1/2010,Ruthenium,0.000000
1/1/2010,Samarium (REE),0.000000
1/1/2010,Scandium (REE),0.000000
1/1/2010,Selenium,40.074519
1/1/2010,Silicon,96651.086061
1/1/2010,Silver,485.383812
1/1/2010,Steel,38316917.540427
1/1/2010,Tantalum,15.473626
1/1/2010,Tellurium,67.993479
1/1/2010,Terbium (REE),30.716992
1/1/2010,Thulium,0.000000
1/1/2010,Tin,8259.616474
1/1/2010,Titanium,0.000000
1/1/2010,Tungsten,21.489592
1/1/2010,Vanadium,2801.672585
1/1/2010,Yetterbium (REE),0.000000
1/1/2010,Yttrium (REE),4.296099
1/1/2010,Zinc,204689.665676
1/1/2010,Zirconium,133.182284
1/1/2011,Aluminum,1302496.726227
1/1/2011,Antimony,0.000000
1/1/2011,Arsenic,0.000000
1/1/2011,Baryte,0.000000
1/1/2011,Beryllium,0.000000
1/1/2011,Bismuth,0.000000
1/1/2011,Borate,0.000000
1/1/2011,Boron,39.904970
1/1/2011,Cadmium,116.775267
1/1/2011,Cerium (REE),0.000000
1/1/2011,Chromium,173888.656378
1/1/2011,Cobalt,3739.659672
1/1/2011,Copper,309565.664901
1/1/2011,Dysprosium (REE),76.678431
1/1/2011,Erbium (REE),0.000000
1/1/2011,Europium (REE),0.000000
1/1/2011,Fluorspar,0.000000
1/1/2011,Gadolinium (REE),0.000000
1/1/2011,Gallium,23.169642
1/1/2011,Germanium,0.000000
1/1/2011,Gold,0.000000
1/1/2011,Graphite,0.000000
1/1/2011,Hafnium,-0.064799
1/1/2011,Helium,0.000000
1/1/2011,Holmium (REE),0.000000
1/1/2011,Indium,37.673502
1/1/2011,Iridium,0.000000
1/1/2011,Iron,251864.620289
1/1/2011,Lanthanum (REE),0.000000
1/1/2011,Lead,9423.757522
1/1/2011,Lithium,1860.070334
1/1/2011,Lutetium (REE),0.000000
1/1/2011,Magnesium,2578.958815
1/1/2011,Manganese,17131.474809
1/1/2011,Molybdenum,19846.669611
1/1/2011,Neodymium (REE),266.313261
1/1/2011,Nickel,74261.449335
1/1/2011,Niobium,1511.847474
1/1/2011,Palladium,0.000000
1/1/2011,Phosphate rock,0.000000
1/1/2011,Phosphorus,0.000000
1/1/2011,Platinum,0.000000
1/1/2011,Praseodymium (REE),119.918361
1/1/2011,Rhenium,0.000000
1/1/2011,Rhodium,0.000000
1/1/2011,Ruthenium,0.000000
1/1/2011,Samarium (REE),0.000000
1/1/2011,Scandium (REE),0.000000
1/1/2011,Selenium,74.388617
1/1/2011,Silicon,174741.378196
1/1/2011,Silver,789.433247
1/1/2011,Steel,50850285.019404
1/1/2011,Tantalum,-0.046014
1/1/2011,Tellurium,124.503365
1/1/2011,Terbium (REE),39.881176
1/1/2011,Thulium,0.000000
1/1/2011,Tin,13471.544621
1/1/2011,Titanium,0.000000
1/1/2011,Tungsten,-5.669893
1/1/2011,Vanadium,3648.726640
1/1/2011,Yetterbium (REE),0.000000
1/1/2011,Yttrium (REE),0.000000
1/1/2011,Zinc,272873.700963
1/1/2011,Zirconium,-2.008762
1/1/2012,Aluminum,1228612.175054
1/1/2012,Antimony,0.000000
1/1/2012,Arsenic,0.000000
1/1/2012,Baryte,0.000000
1/1/2012,Beryllium,0.000000
1/1/2012,Bismuth,0.000000
1/1/2012,Borate,0.000000
1/1/2012,Boron,49.136001
1/1/2012,Cadmium,113.288003
1/1/2012,Cerium (REE),0.000000
1/1/2012,Chromium,212000.805704
1/1/2012,Cobalt,4015.675923
1/1/2012,Copper,329135.248840
1/1/2012,Dysprosium (REE),138.063667
1/1/2012,Erbium (REE),0.000000
1/1/2012,Europium (REE),0.000000
1/1/2012,Fluorspar,0.000000
1/1/2012,Gadolinium (REE),0.000000
1/1/2012,Gallium,21.803001
1/1/2012,Germanium,0.000000
1/1/2012,Gold,0.000000
1/1/2012,Graphite,0.000000
1/1/2012,Hafnium,3.924554
1/1/2012,Helium,0.000000
1/1/2012,Holmium (REE),0.000000
1/1/2012,Indium,43.422426
1/1/2012,Iridium,0.000000
1/1/2012,Iron,260442.968252
1/1/2012,Lanthanum (REE),0.000000
1/1/2012,Lead,10079.287438
1/1/2012,Lithium,3349.157339
1/1/2012,Lutetium (REE),0.000000
1/1/2012,Magnesium,2856.115366
1/1/2012,Manganese,22645.259072
1/1/2012,Molybdenum,27395.848569
1/1/2012,Neodymium (REE),479.511445
1/1/2012,Nickel,136893.731911
1/1/2012,Niobium,1943.804982
1/1/2012,Palladium,0.000000
1/1/2012,Phosphate rock,0.000000
1/1/2012,Phosphorus,0.000000
1/1/2012,Platinum,0.000000
1/1/2012,Praseodymium (REE),147.837281
1/1/2012,Rhenium,0.000000
1/1/2012,Rhodium,0.000000
1/1/2012,Ruthenium,0.000000
1/1/2012,Samarium (REE),0.000000
1/1/2012,Scandium (REE),0.000000
1/1/2012,Selenium,70.002383
1/1/2012,Silicon,160328.349844
1/1/2012,Silver,779.431195
1/1/2012,Steel,52582827.894589
1/1/2012,Tantalum,28.891715
1/1/2012,Tellurium,115.626945
1/1/2012,Terbium (REE),49.114143
